2.8125 -11.9308
2.9375 -10.6683
3.0625 -8.4680
3.1875 -6.7753
3.3125 -5.3619
3.4375 -4.0934
3.5625 -2.9014
3.6875 -1.7618
3.8125 -0.6775
3.9375 0.3340
4.0625 1.2494
4.1875 2.0460
4.3125 2.7059
4.4375 3.2177
4.5625 3.5781
4.6875 3.7909
4.8125 3.8671
4.9375 3.8230
5.0625 3.6790
5.1875 3.4582
5.3125 3.1846
5.4375 2.8819
5.5625 2.5722
5.6875 2.2751
5.8125 2.0069
5.9375 1.7801
6.0625 1.6034
6.1875 1.4812
6.3125 1.4145
6.4375 1.4004
6.5625 1.4334
6.6875 1.5054
6.8125 1.6066
6.9375 1.7262
7.0625 1.8530
7.1875 1.9760
7.3125 2.0849
7.4375 2.1710
7.5625 2.2270
7.6875 2.2479
7.8125 2.2308
7.9375 2.1749
8.0625 2.0819
8.1875 1.9554
8.3125 1.8010
8.4375 1.6256
8.5625 1.4373
8.6875 1.2448
8.8125 1.0573
8.9375 0.8833
9.0625 0.7309
9.1875 0.6069
9.3125 0.5166
9.4375 0.4634
9.5625 0.4487
9.6875 0.4719
9.8125 0.5299
9.9375 0.6179
10.0625 0.7289
10.1875 0.8546
10.3125 0.9854
10.4375 1.1110
10.5625 1.2214
10.6875 1.3066
10.8125 1.3581
10.9375 1.3688
11.0625 1.3343
11.1875 1.2523
11.3125 1.1243
11.4375 0.9544
11.5625 0.7503
11.6875 0.5228
11.8125 0.2852
11.9375 0.0528
12.0625 -0.1580
12.1875 -0.3309
12.3125 -0.4510
12.4375 -0.5061
12.5625 -0.4886
12.6875 -0.3966
12.8125 -0.2351
12.9375 -0.0171
13.0625 0.2362
13.1875 0.4963
13.3125 0.7291
13.4375 0.8987
13.5625 0.9726
13.6875 0.9307
13.8125 0.7763
13.9375 0.5523
14.0625 0.3615
14.1875 0.3931
14.3125 0.9558
14.4375 1.4171
